condition,family,target_tau,id,baseline_length,attacked_length,length_ratio,control_error,predicted_length_ratio,curve_shift,extra_tokens,latency_ratio,mean_delta_risk,mean_delta_margin,risk_late_shift,margin_late_shift,weighted_margin_auc,probe_margin_mean_shift,probe_margin_late_shift,probe_weighted_margin_auc,baseline_onset_found,baseline_onset_marker,baseline_onset_token,attacked_onset_found,attacked_onset_marker,attacked_onset_token,onset_delay_ratio,preanswer_token_ratio,baseline_correct,attacked_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
baseline,manual,,gsm8k_train_0,225,225,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,212,True,final answer,212,1.0,0.9422222222222222,True,True,8.119854000979103,27.709857834004058,0.9038461538461539,0.9805825242718447,0.0,3
baseline,manual,,gsm8k_train_1,962,962,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,False,,,,,False,False,31.681564773025457,30.364661811750942,0.6782477341389728,0.8078668683812406,0.11969696969696969,2
baseline,manual,,gsm8k_train_2,692,692,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,False,,,,,False,False,22.748095696035307,30.420128754804143,0.7407407407407407,0.8329466357308585,0.12558139534883722,3
baseline,manual,,gsm8k_train_3,299,299,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,False,,,,,False,False,9.829264805011917,30.419365632263837,0.900523560209424,0.968421052631579,0.0,4
baseline,manual,,gsm8k_train_4,320,320,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,298,True,final answer,298,1.0,0.93125,True,True,10.533163991989568,30.380235249670356,0.5885167464114832,0.7451923076923077,0.1497584541062802,3
baseline,manual,,gsm8k_train_5,302,302,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,282,True,final answer,282,1.0,0.9337748344370861,True,True,9.937944617995527,30.388577478399462,0.8488372093023255,0.9298245614035088,0.023529411764705882,5
baseline,manual,,gsm8k_train_6,197,197,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,190,True,final answer,190,1.0,0.9644670050761421,True,True,6.4777574019972235,30.411759467753598,0.84251968503937,0.9126984126984127,0.04,1
baseline,manual,,gsm8k_train_7,332,332,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,325,True,final answer,325,1.0,0.9789156626506024,True,True,11.188060752989259,29.67449027404461,0.7740112994350282,0.8920454545454546,0.05714285714285714,1
baseline,manual,,gsm8k_train_8,182,182,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,170,True,final answer,170,1.0,0.9340659340659341,False,False,5.992780077038333,30.369878029955252,0.8608695652173913,0.9298245614035088,0.04424778761061947,1
baseline,manual,,gsm8k_train_9,222,222,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,214,True,final answer,214,1.0,0.963963963963964,True,True,7.3187501190113835,30.333048183094377,0.7483443708609272,0.9666666666666667,0.006711409395973154,1
baseline,manual,,gsm8k_train_10,190,190,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,184,True,final answer,184,1.0,0.968421052631579,True,True,6.4039473430020735,29.669200857440355,0.803030303030303,0.9083969465648855,0.046153846153846156,1
baseline,manual,,gsm8k_train_11,200,200,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,192,True,final answer,192,1.0,0.96,True,True,6.561362700012978,30.481473002491448,0.8389830508474576,0.8974358974358975,0.06896551724137931,1
baseline,manual,,gsm8k_train_12,148,148,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,135,True,final answer,135,1.0,0.9121621621621622,True,True,4.968226639030036,29.789301244295604,0.7476635514018691,0.8301886792452831,0.11428571428571428,1
baseline,manual,,gsm8k_train_13,290,290,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,283,True,final answer,283,1.0,0.9758620689655172,True,True,9.533002413983922,30.420636375230554,0.9013157894736842,0.9735099337748344,0.0,2
baseline,manual,,gsm8k_train_14,213,213,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,207,True,final answer,207,1.0,0.971830985915493,True,True,7.1745050540193915,29.688459119653203,0.7254901960784313,0.8552631578947368,0.08609271523178808,1
baseline,manual,,gsm8k_train_15,504,504,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,486,True,final answer,486,1.0,0.9642857142857143,True,True,16.56863042799523,30.418929445635715,0.5609756097560976,0.6958041958041958,0.22807017543859648,2
baseline,manual,,gsm8k_train_16,323,323,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,315,True,final answer,315,1.0,0.9752321981424149,True,True,10.62019591400167,30.413751555576926,0.5939086294416244,0.7244897959183674,0.15897435897435896,2
baseline,manual,,gsm8k_train_17,271,271,1.0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,final answer,263,True,final answer,263,1.0,0.9704797047970479,False,False,8.906862833013292,30.425976584655412,0.791907514450867,0.9127906976744186,0.03508771929824561,1
