condition,family,target_tau,id,baseline_length,attacked_length,length_ratio,control_error,predicted_length_ratio,curve_shift,extra_tokens,latency_ratio,mean_delta_risk,mean_delta_margin,baseline_correct,attacked_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
baseline,manual,,gsm8k_train_0,225,225,1.0,,,0.0,0,1.0,0.0,0.0,True,True,6.7433909280225635,33.366002713115606,0.9038461538461539,0.9805825242718447,0.0,3
baseline,manual,,gsm8k_train_2,692,692,1.0,,,0.0,0,1.0,0.0,0.0,False,False,18.15633535501547,38.113418069734166,0.7407407407407407,0.8329466357308585,0.12558139534883722,3
baseline,manual,,gsm8k_train_3,299,299,1.0,,,0.0,0,1.0,0.0,0.0,False,False,8.00562476401683,37.348740268707836,0.900523560209424,0.968421052631579,0.0,4
baseline,manual,,gsm8k_train_4,320,320,1.0,,,0.0,0,1.0,0.0,0.0,True,True,8.484650500991847,37.715165752860685,0.5885167464114832,0.7451923076923077,0.1497584541062802,3
baseline,manual,,gsm8k_train_5,302,302,1.0,,,0.0,0,1.0,0.0,0.0,True,True,7.988167217001319,37.805918653937226,0.8488372093023255,0.9298245614035088,0.023529411764705882,5
baseline,manual,,gsm8k_train_6,197,197,1.0,,,0.0,0,1.0,0.0,0.0,True,True,5.20262678299332,37.865487611751476,0.84251968503937,0.9126984126984127,0.04,1
baseline,manual,,gsm8k_train_7,332,332,1.0,,,0.0,0,1.0,0.0,0.0,True,True,9.160719858016819,36.24169335442093,0.7740112994350282,0.8920454545454546,0.05714285714285714,1
verbosity_1_light,verbosity,1.3,gsm8k_train_0,225,227,1.008888888888889,0.2911111111111111,1.1809781165987785,-0.002595159529962375,2,0.8911580458720904,0.002595159529962375,0.06430435180664062,True,True,6.00942708196817,37.77398359340012,0.9019607843137255,0.9801980198019802,0.0,3
verbosity_1_light,verbosity,1.3,gsm8k_train_2,692,500,0.7225433526011561,0.577456647398844,1.182378403106331,0.0005603321239409976,-192,0.7435334606364027,-0.0005603321239409976,0.00201416015625,False,False,13.499842858989723,37.037468155938086,0.8366013071895425,0.9639344262295082,0.006578947368421052,1
verbosity_1_light,verbosity,1.3,gsm8k_train_3,299,315,1.0535117056856187,0.24648829431438135,1.183578161337966,0.003263941039836086,16,1.0383690721252086,-0.003263941039836086,-0.04010009765625,False,True,8.312793157994747,37.893400450731995,0.9158415841584159,0.9800995024875622,0.0,1
verbosity_1_light,verbosity,1.3,gsm8k_train_4,320,259,0.809375,0.4906250000000001,1.1823405984449624,0.00047514077718172846,-61,0.8089751731300301,-0.00047514077718172846,0.005232810974121094,True,True,6.863871607987676,37.733806048847796,0.8,0.9022988505747126,0.046242774566473986,1
verbosity_1_light,verbosity,1.3,gsm8k_train_5,302,325,1.076158940397351,0.223841059602649,1.1822697567377316,0.0003155017213818641,23,1.0776666136525965,-0.0003155017213818641,-0.010471343994140625,True,True,8.608581114036497,37.75302755410874,0.8434343434343434,0.9137055837563451,0.05102040816326531,1
verbosity_1_light,verbosity,1.3,gsm8k_train_6,197,182,0.9238578680203046,0.3761421319796955,1.181867113887054,-0.0005918384179143732,-15,0.9662828185942711,0.0005918384179143732,0.017822265625,True,True,5.027208871964831,36.20299148797198,0.9473684210526315,0.9911504424778761,0.0,1
verbosity_1_light,verbosity,1.3,gsm8k_train_7,332,355,1.069277108433735,0.23072289156626513,1.1817961266760566,-0.0007518053608422082,23,1.0695626815218717,0.0007518053608422082,0.06529712677001953,True,True,9.797964096011128,36.23201682730445,0.7704918032786885,0.8736263736263736,0.06629834254143646,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_0,225,225,1.0,1.0,1.1819633564639616,-0.0003749594816794379,0,0.8410274110683301,0.0003749594816794379,0.0024051666259765625,True,True,5.671376614016481,39.67290753428814,0.9038461538461539,0.9805825242718447,0.0,3
verbosity_2_medium,verbosity,2.0,gsm8k_train_2,692,363,0.5245664739884393,1.4754335260115607,1.1822446645812166,0.00025895751415381185,-329,0.48952219939657965,-0.00025895751415381185,0.00396728515625,False,False,8.887929215969052,40.84190942337766,0.7827868852459017,0.9176954732510288,0.04132231404958678,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_3,299,282,0.9431438127090301,1.0568561872909699,1.182419013292988,0.0006518456137652798,-17,0.8583870922742391,-0.0006518456137652798,-0.02166748046875,False,True,6.871924963023048,41.03653656252157,0.893048128342246,0.956989247311828,0.021621621621621623,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_4,320,316,0.9875,1.0125,1.1825130638360664,0.0008637848862840412,-4,0.9079881787854626,-0.0008637848862840412,-0.034560203552246094,True,True,7.70396235602675,41.017853592287565,0.8118279569892473,0.9135135135135135,0.03804347826086957,3
verbosity_2_medium,verbosity,2.0,gsm8k_train_5,302,349,1.1556291390728477,0.8443708609271523,1.1825135688182817,0.0008649228442360176,47,1.0692818612818797,-0.0008649228442360176,-0.029201507568359375,True,True,8.541602310026065,40.858844433713166,0.8109452736318408,0.92,0.03015075376884422,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_6,197,235,1.1928934010152283,0.8071065989847717,1.1822483624421554,0.00026729050120117203,38,1.1290025517962963,-0.00026729050120117203,-0.0203857421875,True,True,5.873778914043214,40.00831550505836,0.8676470588235294,0.9407407407407408,0.022388059701492536,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_7,332,491,1.4789156626506024,0.5210843373493976,1.1817940952293895,-0.0007563831475799936,159,1.3458641841576404,0.0007563831475799936,0.061837196350097656,True,True,12.329084758006502,39.82452952812615,0.6447876447876448,0.7790697674418605,0.12062256809338522,6
verbosity_3_strong,verbosity,3.0,gsm8k_train_0,225,451,2.0044444444444443,0.9955555555555557,1.1817107718097424,-0.0009441492610524358,226,1.6575503431860423,0.0009441492610524358,0.02435302734375,True,True,11.177509946981445,40.348879324575805,0.7215189873417721,0.8516949152542372,0.08085106382978724,5
verbosity_3_strong,verbosity,3.0,gsm8k_train_2,692,562,0.8121387283236994,2.187861271676301,1.1827437945102905,0.0013837275643624688,-130,0.7541425106597236,-0.0013837275643624688,-0.042724609375,False,False,13.692464329011273,41.04447428132039,0.7455470737913485,0.8647959183673469,0.07672634271099744,2
verbosity_3_strong,verbosity,3.0,gsm8k_train_3,299,290,0.9698996655518395,2.0301003344481607,1.1861596785950088,0.009081290642986064,-9,0.87960288417219,-0.009081290642986064,-0.17596435546875,False,True,7.041770632029511,41.18282391660618,0.8908045977011494,0.9653179190751445,0.011627906976744186,1
verbosity_3_strong,verbosity,3.0,gsm8k_train_4,320,542,1.69375,1.30625,1.1833058462098733,0.002650289398337354,222,1.5493446385911354,-0.002650289398337354,-0.10280323028564453,True,True,13.14564776403131,41.23037599432739,0.7560975609756098,0.8623853211009175,0.0736196319018405,7
verbosity_3_strong,verbosity,3.0,gsm8k_train_5,302,642,2.1258278145695364,0.8741721854304636,1.1830261885494622,0.0020200916433653635,340,1.991060215054905,-0.0020200916433653635,-0.054935455322265625,True,True,15.904921936977189,40.36486331362752,0.8067885117493473,0.8848167539267016,0.07086614173228346,6
verbosity_3_strong,verbosity,3.0,gsm8k_train_6,197,305,1.5482233502538072,1.4517766497461928,1.1823418401525096,0.0004779389172632244,108,1.4611616016382971,-0.0004779389172632244,-0.0125732421875,True,True,7.601878482964821,40.12166212383948,0.9095238095238095,0.9712918660287081,0.009615384615384616,1
verbosity_3_strong,verbosity,3.0,gsm8k_train_7,332,446,1.3433734939759037,1.6566265060240963,1.1821013206265916,-6.406256067850334e-05,114,1.2328105428424923,6.406256067850334e-05,0.014410018920898438,True,True,11.293432020989712,39.49198075227041,0.6338582677165354,0.7707509881422925,0.15476190476190477,3
careful_double_check,deliberation,1.3,gsm8k_train_0,225,224,0.9955555555555555,0.3044444444444445,1.1803698707701598,-0.003965818052612066,-1,0.8099537308895854,0.003965818052612066,0.08207321166992188,True,True,5.461834640998859,41.01186043212669,0.8770491803278688,0.9586776859504132,0.0,1
careful_double_check,deliberation,1.3,gsm8k_train_2,692,626,0.9046242774566474,0.3953757225433526,1.1822934120079074,0.00036880796064658644,-66,0.8374043167123402,-0.00036880796064658644,-0.0111083984375,False,False,15.204193601966836,41.172851148055614,0.7122302158273381,0.8389423076923077,0.09156626506024096,7
careful_double_check,deliberation,1.3,gsm8k_train_3,299,405,1.354515050167224,0.05451505016722402,1.1822237626024883,0.00021185571100782244,106,1.2512799333349773,-0.00021185571100782244,-0.0350341796875,False,True,10.017277621023823,40.43014632538523,0.8512396694214877,0.941908713692946,0.0125,6
careful_double_check,deliberation,1.3,gsm8k_train_4,320,304,0.95,0.3500000000000001,1.1824371193285863,0.0006926468668715237,-16,0.8729294412467621,-0.0006926468668715237,-0.008906364440917969,True,True,7.4065012210048735,41.045021249419975,0.8333333333333334,0.9261083743842364,0.0297029702970297,1
careful_double_check,deliberation,1.3,gsm8k_train_5,302,333,1.1026490066225165,0.19735099337748352,1.1819046371873483,-0.0005072811074874973,31,1.0355591261801367,0.0005072811074874973,0.005664825439453125,True,True,8.2722194630187,40.25521826260658,0.8134715025906736,0.9010416666666666,0.04712041884816754,5
careful_double_check,deliberation,1.3,gsm8k_train_6,197,171,0.868020304568528,0.4319796954314721,1.1814784463947674,-0.0014676856259244948,-26,0.8143214271818849,0.0014676856259244948,0.056396484375,True,True,4.236610467021819,40.362455158688846,0.8962264150943396,0.9523809523809523,0.019230769230769232,1
careful_double_check,deliberation,1.3,gsm8k_train_7,332,419,1.2620481927710843,0.03795180722891578,1.1818739436374368,-0.0005764478387613754,87,1.1486561602253238,0.0005764478387613754,0.05781841278076172,True,True,10.522517297009472,39.81936908947453,0.6791666666666667,0.8075313807531381,0.10504201680672269,2
two_path_reflection,deliberation,2.0,gsm8k_train_0,225,429,1.9066666666666667,0.09333333333333327,1.178513352224027,-0.008149411014511686,204,1.6015328103078712,0.008149411014511686,0.16410064697265625,True,True,10.79976182396058,39.72309824909393,0.47555555555555556,0.5178571428571429,0.4484304932735426,6
two_path_reflection,deliberation,2.0,gsm8k_train_2,692,694,1.0028901734104045,0.9971098265895955,1.182457464381397,0.000738493658935818,2,0.928519445384032,-0.000738493658935818,-0.01611328125,False,False,16.858510434045456,41.16615182077294,0.5448577680525164,0.6600877192982456,0.27472527472527475,3
two_path_reflection,deliberation,2.0,gsm8k_train_3,299,502,1.6789297658862876,0.3210702341137124,1.1850053412234702,0.006480035884025922,203,1.525323246206194,-0.006480035884025922,-0.100341796875,False,True,12.211165552958846,41.10991680711118,0.47019867549668876,0.5249169435215947,0.45,2
two_path_reflection,deliberation,2.0,gsm8k_train_4,320,516,1.6125,0.38749999999999996,1.1828918015362406,0.001717255690632189,196,1.506692956002872,-0.001717255690632189,-0.045546531677246094,True,True,12.783763143990654,40.363701532014026,0.6842105263157895,0.7888888888888889,0.15041782729805014,2
two_path_reflection,deliberation,2.0,gsm8k_train_5,302,555,1.8377483443708609,0.16225165562913912,1.1818877973269384,-0.0005452290836262235,253,1.7314645883418676,0.0005452290836262235,0.018383026123046875,True,False,13.83122866199119,40.126586983928895,0.511400651465798,0.5882352941176471,0.3770491803278688,2
two_path_reflection,deliberation,2.0,gsm8k_train_6,197,317,1.6091370558375635,0.3908629441624365,1.1809332998912003,-0.0026961522524916537,120,1.4844510982807475,0.0026961522524916537,0.1055908203125,True,True,7.723045041959267,41.04598617225984,0.46524064171123,0.5161290322580645,0.4648648648648649,2
two_path_reflection,deliberation,2.0,gsm8k_train_7,332,729,2.1957831325301207,0.1957831325301207,1.1820362176510446,-0.0002107696058974676,397,1.983119641753703,0.0002107696058974676,0.013575553894042969,True,True,18.166803483036347,40.12813815488894,0.6692111959287532,0.8341836734693877,0.07672634271099744,1
uncertainty_maintenance,deliberation,3.0,gsm8k_train_0,225,225,1.0,2.0,1.1806131819266366,-0.003417525742843306,0,0.825628633933225,0.003417525742843306,0.07819557189941406,True,True,5.567536639980972,40.41284585075833,0.9038461538461539,0.9805825242718447,0.0,3
uncertainty_maintenance,deliberation,3.0,gsm8k_train_2,692,457,0.6604046242774566,2.3395953757225434,1.181970225717659,-0.00035947988333000604,-235,0.6110461205446083,0.00035947988333000604,0.0411376953125,False,False,11.094358281989116,41.192107590567566,0.725,0.8150470219435737,0.1289308176100629,1
uncertainty_maintenance,deliberation,3.0,gsm8k_train_3,299,357,1.193979933110368,1.806020066889632,1.183256513684026,0.0025391204534554864,58,1.1203870223019194,-0.0025391204534554864,-0.055908203125,False,True,8.969398091023322,39.80200191552316,0.8617886178861789,0.9591836734693877,0.004098360655737705,1
uncertainty_maintenance,deliberation,3.0,gsm8k_train_4,320,273,0.853125,2.146875,1.1820710836350887,-0.0001322004551825096,-47,0.8004700957603889,0.0001322004551825096,0.031084060668945312,True,True,6.791708999022376,40.19606847691747,0.61,0.7386934673366834,0.1717171717171717,1
uncertainty_maintenance,deliberation,3.0,gsm8k_train_5,302,529,1.7516556291390728,1.2483443708609272,1.1818830955088744,-0.0005558244493457064,227,1.6203308486617598,0.0005558244493457064,0.011913299560546875,True,False,12.943473765975796,40.87001755205545,0.81875,0.9122257053291536,0.040880503144654086,4
uncertainty_maintenance,deliberation,3.0,gsm8k_train_6,197,188,0.9543147208121827,2.0456852791878175,1.180131976159622,-0.004501904384953289,-9,0.9051250518998506,0.004501904384953289,0.1622314453125,True,True,4.709027836972382,39.92331464340473,0.8782608695652174,0.956140350877193,0.017699115044247787,1
uncertainty_maintenance,deliberation,3.0,gsm8k_train_7,332,390,1.1746987951807228,1.8253012048192772,1.1816386105916985,-0.0011067617835931042,58,1.0858685472536893,0.0011067617835931042,0.13104915618896484,True,True,9.947337564022746,39.20647082597671,0.7162162162162162,0.8371040723981901,0.09545454545454546,1
micro_step_deliberation,deliberation,2.0,gsm8k_train_0,225,185,0.8222222222222222,1.1777777777777778,1.1801517703669926,-0.00445729890184906,-40,0.6742727512856346,0.00445729890184906,0.1009521484375,True,True,4.546884754032362,40.68719794050959,0.8316831683168316,0.93,0.020202020202020204,1
micro_step_deliberation,deliberation,2.0,gsm8k_train_2,692,626,0.9046242774566474,1.0953757225433525,1.1822433388588731,0.0002559700499687921,-66,0.8765874641989495,-0.0002559700499687921,0.0318603515625,False,False,15.915615967998747,39.33243936387303,0.6197183098591549,0.7694117647058824,0.15566037735849056,2
micro_step_deliberation,deliberation,2.0,gsm8k_train_3,299,280,0.9364548494983278,1.0635451505016722,1.1819333337118865,-0.0004426145958929366,-19,0.8836105050527279,0.0004426145958929366,-0.025390625,False,False,7.073854140995536,39.582382449377775,0.8352272727272727,0.9314285714285714,0.028735632183908046,1
micro_step_deliberation,deliberation,2.0,gsm8k_train_4,320,208,0.65,1.35,1.1823200872268498,0.00042891953801618785,-112,0.6029151748109166,-0.00042891953801618785,0.007798194885253906,True,True,5.115524540015031,40.660541919595374,0.7887323943661971,0.8794326241134752,0.05714285714285714,1
micro_step_deliberation,deliberation,2.0,gsm8k_train_5,302,408,1.3509933774834437,0.6490066225165563,1.1810967003737112,-0.0023279355653881223,106,1.2590120077364313,0.0023279355653881223,0.06545639038085938,True,True,10.05719844601117,40.567957586818686,0.8143459915611815,0.9067796610169492,0.03829787234042553,1
micro_step_deliberation,deliberation,2.0,gsm8k_train_6,197,139,0.7055837563451777,1.2944162436548223,1.181159573669726,-0.002186253017024865,-58,0.6694690896112809,0.002186253017024865,0.0849609375,True,True,3.4829978159978054,39.90815020370015,0.8823529411764706,0.9523809523809523,0.012048192771084338,1
micro_step_deliberation,deliberation,2.0,gsm8k_train_7,332,411,1.2379518072289157,0.7620481927710843,1.1819255696793718,-0.0004601105438066114,79,1.1117429374397865,0.0004601105438066114,0.05733299255371094,True,True,10.184365604014602,40.35597463606244,0.6406926406926406,0.7869565217391304,0.1091703056768559,2
