layer,fraction,c_dir_mean,c_dir_count,c_conf_mean,c_conf_count,e_dir_mean
layer_8,0.1,0.9906294439642046,20,0.03785399550338635,20,5.198716196622155e-09
layer_8,0.2,0.9978733023105255,20,0.0006695835715257532,20,5.199193959091131e-09
layer_8,0.3,0.9988633989105701,20,0.001119448145696519,20,5.199250131034736e-09
layer_8,0.4,0.9837117231956267,20,0.009226154582346725,20,5.1799220383156585e-09
layer_8,0.5,0.9959364641617678,20,0.003725363132892742,20,5.199097381348305e-09
layer_8,0.6,0.9915402956090145,20,0.0038751486322655695,20,5.198766439034573e-09
layer_8,0.7,0.9941675010807375,20,0.00319153706444389,20,5.198976400227722e-09
layer_8,0.8,0.9955732492105434,20,0.004954342942843108,20,5.199062100392609e-09
layer_12,0.1,0.9980330183799964,20,0.0021387951745655566,20,5.199211783801598e-09
layer_12,0.2,0.9994488927853077,20,0.00018701034945128205,20,5.199276922310623e-09
layer_12,0.3,0.9991996675052153,20,0.0004879530496400347,20,5.199265762659657e-09
layer_12,0.4,0.9944420687680647,20,0.02784778858134134,20,5.1989346517732575e-09
layer_12,0.5,0.996825365149669,20,0.002404925179475978,20,5.1991295595946944e-09
layer_12,0.6,0.9944432233947669,20,0.011789013030252846,20,5.198980443729635e-09
layer_12,0.7,0.9962133873270387,20,0.0053789530781880165,20,5.199094000685717e-09
layer_12,0.8,0.9952166122914772,20,0.009667775494536745,20,5.199006359068273e-09
layer_16,0.1,0.9981044343610137,20,0.013828326190531962,20,5.19921167990662e-09
layer_16,0.2,0.9992660137425254,20,0.00035322006530418416,20,5.199269448619092e-09
layer_16,0.3,0.9995616794920131,20,0.0020705095305766632,20,5.199281046846593e-09
layer_16,0.4,0.9966347604718528,20,0.004174345407850631,20,5.199100230318234e-09
layer_16,0.5,0.9952302482422614,20,0.0006823887064245413,20,5.198988346038704e-09
layer_16,0.6,0.9967921496102534,20,0.016474727315417322,20,5.1991445820092705e-09
layer_16,0.7,0.9975463906241888,20,0.003032494026999764,20,5.199176899755096e-09
layer_16,0.8,0.9957816424600207,20,0.012937552986593336,20,5.199028268865138e-09
layer_20,0.1,0.9961351375076234,20,0.001163771642408795,20,5.199093907794046e-09
layer_20,0.2,0.9978848419455183,20,0.00043592915649417086,20,5.199202161392845e-09
layer_20,0.3,0.9991593108476445,20,0.0057209695271650245,20,5.199265003191074e-09
layer_20,0.4,0.9958489708338686,20,0.0031194033847574314,20,5.199040342888108e-09
layer_20,0.5,0.9974008964074625,20,0.0007449445883361862,20,5.199178679335691e-09
layer_20,0.6,0.9965876893817516,20,0.0017226060821351062,20,5.19912627978893e-09
layer_20,0.7,0.9970679719195786,20,0.0038755701756767735,20,5.199153553236955e-09
layer_20,0.8,0.9933809102507907,20,0.007711191275384835,20,5.1987943357479425e-09
layer_24,0.1,0.987349145021829,20,0.0012596211900422222,20,5.197990354260644e-09
layer_24,0.2,0.9932078226658712,20,0.002714272758502914,20,5.1988172731226135e-09
layer_24,0.3,0.9963909220952925,20,0.018201714419982376,20,5.1990942143720756e-09
layer_24,0.4,0.9764005679602639,20,0.01275355781104634,20,5.196331400510567e-09
layer_24,0.5,0.9958337469793689,20,0.0010691679453597833,20,5.199077372015661e-09
layer_24,0.6,0.9950468772423567,20,0.012364277262339267,20,5.199045628050419e-09
layer_24,0.7,0.9923234752211461,20,0.0037172517223462214,20,5.198857112530031e-09
layer_24,0.8,0.9826574842427537,20,0.03206430896194298,20,5.196957221947115e-09
layer_27,0.1,0.9795196523933614,20,0.00044550738057798974,20,5.196807403130928e-09
layer_27,0.2,0.9921811980487603,20,0.0022414269544434864,20,5.198749325493735e-09
layer_27,0.3,0.9978002509227272,20,0.009782421029934759,20,5.199195443265833e-09
layer_27,0.4,0.9881554678804484,20,0.03976435299263487,20,5.1984720221435915e-09
layer_27,0.5,0.9964295048154721,20,0.0010704583722631568,20,5.1991159541446824e-09
layer_27,0.6,0.9914737660287084,20,0.011124419638217952,20,5.198729081493381e-09
layer_27,0.7,0.9932127129062828,20,0.006312590981367256,20,5.198936436121172e-09
layer_27,0.8,0.9866947523611762,20,0.01543625752125942,20,5.1979145155905435e-09
